sdc_dealno,date,targetName,acquirorName,URL_found,IdentifiableIntangibleassetsI,Goodwill,totalDealValueFromFiling,TotalIIAifreportedasaggreg,InProcessRD,valuePatents,TrademarksTradenamesBrand,Technology,Workforce,Noncompeteagreements,MaintenanceSupportContracts,CustomerRelationshipscontract,Contractcontractualrights,Cashacquired,Backlog,IntellectualProperty,RoyaltyAgreement,Other,tgt_cik,origACQcik,acq_cik,acq_cik2,acq_cik3,acq_cik4,acq_cik5,RA,Notes,source,url10s_1,TargetCIK,AcquirerCIK,yearDeal,TargetIndustryGroup,AcquirorSICcode,ofOther,ofUnknown,bothGW_IIA_missing,fromRecent,hand_IIA,hand_GW,handChecked_2018
1784780,6/1/2007,Delta & Pine Land Co,Monsanto Co,https://www.sec.gov/Archives/edgar/data/1110783/000095013707016049/c18705e10vk.htm#142,601,1097,1615,,186,0,101,0,0,0,0,15,0,60000000,0,94,0,205000000,,,0001110783,,,,,Allah,,Post2002collect,,,,2007,Natural Resources,2879,,,0,1,,,0
1784785,10/31/2006,Micro Linear Corp,Sirenza Microdevices Inc,https://www.sec.gov/Archives/edgar/data/1103777/000119312507056012/d10k.htm,20.08,15.471,45.89,,0,0,0,13.8,0,0,0,6.1,0,6922000,.18,0,0,0,,,0001103777,,,,,Allah,,Post2002collect,,,,2006,Manufacturing,3674,,,0,1,,,0
1785984,1/10/2007,Gold Kist Inc,Pilgrim's Pride Corp,https://www.sec.gov/Archives/edgar/data/802481/000080248107000013/form10q_body.htm,0,537.516,1057.697,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000802481,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,2015,11.84,,0,1,,,0
1786711,10/20/2006,Internet Sec Sys Inc,IBM Corp,https://www.sec.gov/Archives/edgar/data/51143/000110465906069905/a06-19062_710q.htm,216,967,1300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000051143,0000051143,,,,,Lincel,,Post2002collect,,,,2006,Manufacturing,3571,,,1,1,216,967,1
1789114,12/1/2006,Sentigen Holding Corp,Invitrogen Corp,https://www.sec.gov/Archives/edgar/data/1073431/000119312507044261/d10k.htm,5.1,11.6,15.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0001073431,0001073431,,,,,Lincel,,Post2002collect,,,,2006,Services,2836,,,0,1,,,0
1791422,12/1/2006,NS Group Inc,IPSCO Inc,https://www.sec.gov/Archives/edgar/data/879933/000110465907015153/a07-1661_110k.htm,700,598,1430,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000879933,,,,,Allah,,Post2002collect,,,,2006,Manufacturing,3312,,,1,1,700,598,1
1793733,3/8/2007,Commonwealth Telephone Entrp,Citizens Communications Co,https://www.sec.gov/Archives/edgar/data/20520/000002052007000025/form10q1stqtr2007.txt,500,574.347,1055.871,,0,0,0,0,0,0,0,500,0,140500000,0,0,0,0,,,0000020520,,,,,Allah,,Post2002collect,,,,2007,Services,4813,,,0,1,,,0
1793780,1/9/2007,Symbol Technologies Inc,Motorola Inc,https://www.sec.gov/Archives/edgar/data/68505/000095013707006995/c14204e10vq.htm,1095,2200,3500,,95,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000068505,0000068505,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,3663,,,0,1,,,0
1796233,11/28/2006,Maritrans Inc,Overseas Shipholding Group Inc,https://www.sec.gov/Archives/edgar/data/75208/000104746907001515/a2176405z10-k.htm,93,64.29300000000001,506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000075208,,,,,Allah,,Post2002collect,,,,2006,Services,4412,,,0,1,,,0
1798437,11/17/2006,Myogen Inc,Gilead Sciences Inc,https://www.sec.gov/Archives/edgar/data/882095/000119312507041203/d10k.htm,2058.5,107.881,2443.814,,2058.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000882095,0000882095,,,,,Lincel,,Post2002collect,,,,2006,Manufacturing,2836,,,0,1,,,0
1799771,1/12/2007,Global Signal Inc,Crown Castle International,https://www.sec.gov/Archives/edgar/data/1051470/000119312507042810/d10k.htm#tx30584_13,2500.7,1952.288,3956.762,,0,0,0,0,0,0,0,0,0,113650000,0,0,0,0,,,0001051470,,,,,Allah,,Post2002collect,,,,2007,Services,4812,31.07,,0,1,,,0
1801447,2/20/2007,VitalStream Holdings Inc,Internap Network Services Corp,https://www.sec.gov/Archives/edgar/data/1056386/000118811207001437/t14313_10q.htm,46.95,154.653,214.022,,.45,0,1.5,36,0,0,0,9,0,0,0,0,0,0,,0001056386,0001056386,,,,,Lincel,,Post2002collect,,,,2007,Services,7372,,,0,1,,,0
