sdc_dealno,date,targetName,acquirorName,URL_found,IdentifiableIntangibleassetsI,Goodwill,totalDealValueFromFiling,TotalIIAifreportedasaggreg,InProcessRD,valuePatents,TrademarksTradenamesBrand,Technology,Workforce,Noncompeteagreements,MaintenanceSupportContracts,CustomerRelationshipscontract,Contractcontractualrights,Cashacquired,Backlog,IntellectualProperty,RoyaltyAgreement,Other,tgt_cik,origACQcik,acq_cik,acq_cik2,acq_cik3,acq_cik4,acq_cik5,RA,Notes,source,url10s_1,TargetCIK,AcquirerCIK,yearDeal,TargetIndustryGroup,AcquirorSICcode,ofOther,ofUnknown,bothGW_IIA_missing,fromRecent,hand_IIA,hand_GW,handChecked_2018
443532,7/15/1996,American Safety Closure Corp,Seda Specialty Packaging Corp,https://www.sec.gov/Archives/edgar/data/912034/0000950148-96-002606.txt,0,.965,7.345,,,,,,,,,,,,,,,,,,0000912034,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,3089,,,0,1,,,0
452897,3/31/1996,North American Resorts Inc,Voyageur First Inc,http://www.sec.gov/Archives/edgar/data/1000686/0000897101-97-000792.txt,0,.370405,.438353,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,1000686,0001000686,1996,Services,5099,,,0,0,,,0
452911,2/22/1996,AEL Industries Inc,Tracor Inc,http://www.sec.gov/Archives/edgar/data/829221/0000829221-96-000007.txt,0,60,103,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000004911,0000829221,1996,Manufacturing,3812,16.65,,0,0,,,0
474878,6/18/1996,Bally Gaming International Inc,Alliance Gaming Corp,https://www.sec.gov/Archives/edgar/data/2491/0000002491-96-000032.txt,0,0,116.771,,,,,,,,,,,,,,,,,,0000002491,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,3944,12.56,,0,1,,,0
478014,7/2/1996,Samuel Goldwyn Co,Metromedia International Group,https://www.sec.gov/Archives/edgar/data/39547/0001005477-96-000490.txt,68.72199999999999,0,43.8,,,,,,,,,,,,,,,,,0000039547,,,,,,Alexey,,Pre2002collect,,,,1996,Services,4812,64.58,,1,1,68.72199999999999,0,1
483499,2/9/1996,Capital Cities/ABC Inc,Walt Disney Co,http://www.sec.gov/Archives/edgar/data/1001039/0001001039-96-000009.txt,2221,16079,18900,18300000000,,,1100,,,5,,,,,,,,1100000000,,,,,,,,,,2014 sample,,0000017109,0001001039,1996,Services,7996,,,0,0,,,0
484470,9/11/1996,Southern Pacific Rail Corp,Union Pacific Corp,https://www.sec.gov/Archives/edgar/data/100885/0000100885-96-000020.txt,0,0,4089,,,,,,,,,,,,,,,,,,0000100885,,,,,Lincel,,Pre2002collect,,,,1996,Services,4011,,,0,1,,,0
486402,5/1/1996,Wedco Technology Inc,ICO Inc,http://www.sec.gov/Archives/edgar/data/353567/0000950129-96-001867.txt,0,26.565,54.919,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000104060,0000353567,1996,Manufacturing,3087,,24.91,0,0,,,0
490436,9/9/1996,TPI Enterprises Inc,Shoney's Inc,https://www.sec.gov/Archives/edgar/data/89902/0000950144-97-000667.txt,0,50.6,168.1,,,,,,,,,,,3700000,,,,,,,,,,,,,,2014 sample,,96919,0000089902,1996,Trade,5812,59.34,,0,0,,,0
491738,2/23/1996,CableMaxx Inc,Heartland Wireless Commun Inc,http://www.sec.gov/Archives/edgar/data/917707/0000950134-96-001094.txt,24.101325,0,77,24101325,,,,.01,,,,,,,,,,24091325,,,,,,,,,,2014 sample,,0000928507,0000917707,1996,Services,4841,,,0,0,,,0
492608,1/11/1996,Data Measurement Corp,Measurex Corp,http://www.sec.gov/Archives/edgar/data/751190/0000898430-96-001320.txt,0,25.9,31.3,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,354827, 0000751190,1996,Manufacturing,3823,,,0,0,,,0
502901,3/29/1996,Geodynamics Corp,Logicon Inc,https://www.sec.gov/Archives/edgar/data/311946/0000898430-96-002858.txt,0,9.300000000000001,31.7,,,,,,,,,,,,,,,,0000769409,,0000311946,,,,,Lincel,,Pre2002collect,,,,1996,Services,7371,,100,0,1,,,0
502929,2/23/1996,Cordis Corp,Johnson & Johnson,https://www.sec.gov/Archives/edgar/data/200406/0000200406-96-000001.txt,0,0,1800,,,,,,,,,,,,,,,,,0000200406,,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,2834,,,1,1,0,0,1
514186,3/12/1996,CBI Industries Inc,Praxair Inc,https://www.sec.gov/Archives/edgar/data/884905/0000884905-96-000007.txt,0,750,1450,,,,,,,,,,,,,,,,,,0000884905,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,2813,32.58,,0,1,,,0
514727,8/13/1996,NYCOR Inc,Fedders Corp,http://www.sec.gov/Archives/edgar/data/744106/0000744106-96-000007.txt,0,53.192,47.769,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,,,2014 sample,,0000809066,0000744106,1996,Manufacturing,3585,,,0,0,,,0
514962,7/1/1996,Richard Barrie Fragrances Inc,Parlux Fragrances Inc,http://www.sec.gov/Archives/edgar/data/802356/0000950144-96-008371.txt,2.091957,0,3.75625,2091957,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,,0000802356,1996,Manufacturing,2844,,,0,0,,,0
514977,3/13/1996,PerSeptive Tech II Corp,PerSeptive Biosystems Inc,http://www.sec.gov/Archives/edgar/data/859640/0000927016-96-000277.txt,6.785,0,19.294,,6.785,,,,,,,,,11851000,,,,,,,,,,,,,,2014 sample,,914842, 0000859640,1996,Manufacturing,3826,,,0,0,,,0
515343,1/10/1996,Pratt & Lambert United Inc,Sherwin-Williams Co,http://www.sec.gov/Archives/edgar/data/89800/0000950152-96-002410.txt,0,278,400,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000079920,0000089800,1996,Manufacturing,2851,,,1,0,0,278,1
515362,1/8/1996,NetWorth Inc(Ungermann-Bass),Compaq Computer Corp,https://www.sec.gov/Archives/edgar/data/714154/0000714154-96-000006.txt,241,126,386,,241,,,,,,,,,,,,,,,0000714154,,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,3571,,,0,1,,,0
519310,12/19/1996,Savoy Pictures Entertainment,HSN Inc,https://www.sec.gov/Archives/edgar/data/891103/0000950144-97-004147.txt,0,306,113.4,,,,,,,,,,,,,,,,,0000891103,,,,,,Lincel,,Pre2002collect,,,,1996,Services,4833,,,0,1,,,0
520285,2/16/1996,Communication Cable Inc,Kuhlman Corp,https://www.sec.gov/Archives/edgar/data/56955/0000056955-96-000004.txt,20.548,0,40.404,,,,,,,,,,,,,,,,,,0000056955,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,3612,,100,1,1,20.548,0,1
521142,7/16/1996,Summit Family Restaurants Inc,CKE Restaurants Inc,http://www.sec.gov/Archives/edgar/data/919628/0000892569-96-002680.txt,2.268,0,29.056,2268000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000053281,0000919628,1996,Trade,5812,,,0,0,,,0
521264,4/1/1996,Greiner Engineering Inc,URS Corp,http://www.sec.gov/Archives/edgar/data/102379/0000950149-96-001435.txt,0,34.406,76.916,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000040956,0000102379,1996,Services,8711,,,0,0,,,0
522546,2/16/1996,Rauch Industries Inc,Syratech Corp,http://www.sec.gov/Archives/edgar/data/805914/0000950135-96-002068.txt,23.158,0,48.677,23158000,,,,,,,,,,2084000,,,,,,,,,,,,,,2014 sample,,0000715817,0000805914,1996,Manufacturing,3914,,,0,0,,,0
522691,1/22/1996,Holson Burnes Group Inc,Newell Co,https://www.sec.gov/Archives/edgar/data/814453/0000895813-96-000031.txt,0,125.9,79.7,,,,,,,,,,,,,,,,,0000814453,,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,3229,,,1,1,0,125.9,1
522798,5/1/1996,Dimensional Medicine(National),Dynamic Healthcare Technologie,https://www.sec.gov/Archives/edgar/data/720481/0001016843-97-000175.txt,1.628522,0,1.429836,,,,,,,,,,,,,,,1628522,.,.,.,.,.,.,.,,,2014 sample,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000720481&type=10&dateb=&owner=exclude&count=40,723799, 0000720481,1996,Manufacturing,7373,52.17,47.83,0,0,,,0
524270,1/29/1996,Cobra Golf Inc,American Brands Inc,https://www.sec.gov/Archives/edgar/data/789073/0000893838-96-000035.txt,0,650,715,,,,,,,,,,,,,,,,,0000789073,,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,3432,,,0,1,,,0
528091,8/28/1996,International Jensen Inc,Recoton Corp,http://www.sec.gov/Archives/edgar/data/82536/0000899681-96-000363.txt,0,15.9,60.1,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000853261,0000082536,1996,Manufacturing,3679,41.25,,0,0,,,0
528347,4/30/1996,Loral Corp,Lockheed Martin Corp,https://www.sec.gov/Archives/edgar/data/936468/000092838596001071/0000928385-96-001071.txt,0,7900,7300,,,,,,,,,,,,,,,,,0000936468,,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,3761,23.97,,0,1,,,0
529172,4/30/1996,Technalysis Corp,Compuware Corp,http://www.sec.gov/Archives/edgar/data/859014/0000950124-96-003581.txt,22.872,0,31,22872000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000096677,0000859014,1996,Manufacturing,7372,,100,0,0,,,0
531016,2/26/1996,Concord Health Group,Multicare Cos Inc,http://www.sec.gov/Archives/edgar/data/890925/0000950112-96-001462.txt,0,55,75,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000896499,0000890925,1996,Services,8051,34.67,,0,0,,,0
531303,7/23/1996,Firefox Communications Inc,FTP Software Inc,https://www.sec.gov/Archives/edgar/data/912548/0000927016-96-001755.txt,40.5,0,61,,37.9,,,2.6,,,,,,,,,,,,,0000912548,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,7372,,,0,1,,,0
532360,5/9/1996,Portage Industries Corp,Spartech Corp,http://www.sec.gov/Archives/edgar/data/77597/0000077597-96-000017.txt,0,9.5,17.6,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000808241,0000077597,1996,Manufacturing,3089,,,0,0,,,0
533728,3/4/1996,Tivoli Systems Inc,IBM Corp,https://www.sec.gov/Archives/edgar/data/51143/0000950112-96-001476.txt,60,280,800,,417,,,,,,,,,,,,,39000000,,0000051143,,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,3571,,,0,1,,,0
537024,4/8/1996,Guardsman Products Inc,Lilly Industries Inc,https://www.sec.gov/Archives/edgar/data/59479/0000908834-96-000122.txt,3.135,175.459,235,,,,,,,,,,,,,,,,,,0000059479,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,2851,,,1,1,3.135,175.459,1
537155,9/18/1996,Citicasters Inc,Jacor Communications Inc,http://www.sec.gov/Archives/edgar/data/702808/0000702808-96-000017.txt,1012.7,0,847.3,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000317833,0000702808,1996,Services,4832,19.54,,1,0,1012.7,0,1
537781,5/30/1996,Circle K Corp,Tosco Corp,http://www.sec.gov/Archives/edgar/data/74091/0000899681-96-000263.txt,555.401,0,781.7329999999999,555401000,,,,,,,,,,41465000,,,,,,,,,,,,,,2014 sample,,0000936287,0000074091,1996,Trade,2911,19.33,,0,0,,,0
539085,7/1/1996,Cray Research Inc,Silicon Graphics Inc,https://www.sec.gov/Archives/edgar/data/802301/0000912057-96-021577.txt,84.3,0,766.8,,98.2,,,24.5,,,,,,,,,,,,,0000802301,0000743821,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,3571,,,0,1,,,0
539235,11/15/1996,Continental Cablevision Inc,US WEST Media Group,http://www.sec.gov/Archives/edgar/data/355069/0000912057-97-010671.txt,7589,3324,11700,,,,,,,,,,,,,,,7589000000,,,,,,,,,,2014 sample,,355069, 0000355069,1996,Services,4841,65.8,,0,0,,,0
539254,9/16/1996,Sterile Concepts Inc,Maxxim Medical Inc,https://www.sec.gov/Archives/edgar/data/858660/0000890566-97-000152.txt,0,116,153.765,,,,,,,,,,,465000,,,,,,0000858660,,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,3842,20.69,79.31,0,1,,,0
539954,7/10/1996,Big O Tires Inc,TBC Corp,http://www.sec.gov/Archives/edgar/data/718449/0000718449-96-000010.txt,32.502,0,54.646,32502000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000718082,0000718449,1996,Trade,3011,,,0,0,,,0
541341,7/3/1996,Acme-Cleveland Corp,Danaher Corp,https://www.sec.gov/Archives/edgar/data/313616/0000313616-96-000014.txt,0,0,200,,,,,,,,,,,,,,,,,0000313616,,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,3823,,,0,1,,,0
544455,7/22/1996,Pet Practice Inc,Veterinary Centers of America,http://www.sec.gov/Archives/edgar/data/817366/0000944209-96-000544.txt,53.775,0,97.44199999999999,53775000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000931612,0000817366,1996,Natural Resources,742,,,0,0,,,0
545907,8/7/1996,MediSense Inc,Abbott Laboratories,https://www.sec.gov/Archives/edgar/data/1800/0000912057-96-017491.txt,35.2,0,806.7380000000001,,35.2,,,,,,,,,,,,,,,0000001800,,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,2834,,,0,1,,,0
545996,12/2/1996,Cheyenne Software Inc,Computer Assoc Intl Inc,https://www.sec.gov/Archives/edgar/data/356028/0000356028-97-000001.txt,0,0,1200,,,,,,,,,,,,,,,,,0000356028,,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,7372,,,0,1,,,0
546884,6/17/1996,E&B Marine Inc,West Marine Inc,https://www.sec.gov/Archives/edgar/data/912833/0000898430-96-003675.txt,38.4,0,41.6,,,,,,,,,,,,,,,,,,0000912833,,,,,Lincel,,Pre2002collect,,,,1996,Trade,5551,,,0,1,,,0
548555,11/22/1996,Multi-Market Radio Inc,SFX Broadcasting Inc,http://www.sec.gov/Archives/edgar/data/908612/0000950136-97-000370.txt,0,114.674,114.5,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,,,2014 sample,,0000900302,0000908612,1996,Services,4832,47.87,,0,0,,,0
550829,7/30/1996,TruVision Wireless Inc,Wireless One Inc,https://www.sec.gov/Archives/edgar/data/918358/0000906280-97-000047.txt,0,0,51.402953,,,,,,,,,,,,,,,,,,0000918358,,,,,Alexey,,Pre2002collect,,,,1996,Services,4841,,,1,1,,,0
551237,8/12/1996,UUNet Technologies Inc,MFS Commun(Peter Kiewit Sons),https://www.sec.gov/Archives/edgar/data/898623/0000898623-96-000012.txt,2076.388,0,2114,,,,,,,,,,,,,,,,,,0000898623,,,,,Lincel,,Pre2002collect,,,,1996,Services,4813,,,0,1,,,0
553472,9/11/1996,Morrison-Knudsen Corp,Washington Construction Group,https://www.sec.gov/Archives/edgar/data/906469/0000912057-96-027827.txt,0,0,186.127,,,,,,,,,,,,,,,,,,0000906469,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,1522,18.65,,0,1,,,0
554142,11/15/1996,A+ Network Inc,Metrocall Inc,https://www.sec.gov/Archives/edgar/data/906525/0000950133-97-001169.txt,144.062,122.893,286.4,,,,,,,2.503,,25.646,,,,,,115913000,,,0000906525,,,,,Alexey,,Pre2002collect,,,,1996,Services,4812,36.23,,0,1,,,0
557051,9/10/1996,Neolens Inc,Sola International Inc,https://www.sec.gov/Archives/edgar/data/912088/0000912088-96-000013.txt,0,17.585,16.86,,,.7,,,,,,,,,,,,,.,.,.,.,.,.,.,,,2014 sample,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000912088&type=10&dateb=&owner=exclude&count=40,0000780068,0000912088,1996,Manufacturing,3851,49.38,,0,0,,,0
559055,9/30/1996,Scott Mills Inc,Kleinert's Inc,https://www.sec.gov/Archives/edgar/data/56252/0000950115-97-000272.txt,0,2.64,1.006,,,,,,,,,,,,,,,,,,0000056252,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,2341,,,0,1,,,0
559372,7/25/1996,US Technologies Inc,Pacific Animated Imaging Inc,https://www.sec.gov/Archives/edgar/data/851943/0000950169-96-000474.txt,0,0,592.317,,,,,,,,,,,,,,,,,,0000851943,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,3699,,,1,1,,,0
559912,8/23/1996,Brenco Inc,Varlen Corp,https://www.sec.gov/Archives/edgar/data/103071/0000103071-96-000011.txt,0,0,165,,,,,,,,,,,,,,,,,,0000103071,,,,,Lincel,,Pre2002collect,,,,1996,Manufacturing,3714,,,0,1,,,0
560202,11/19/1996,Penril DataComm Networks Inc,Bay Networks Inc,http://www.sec.gov/Archives/edgar/data/876516/0000891618-97-000437.txt,88.59999999999999,47,136.4,,84.59999999999999,,,,,,,,,,,,,4000000,,,,,,,,,,2014 sample,,77328,0000876516,1996,Manufacturing,3577,,,0,0,,,0
560224,11/27/1996,Everest & Jennings Intl,Graham-Field Health Products,http://www.sec.gov/Archives/edgar/data/709136/0001005477-97-000940.txt,0,49.371,19.27335924,,12.8,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,,0000709136,1996,Manufacturing,5047,75.94,,1,0,0,49.371,1
560746,12/31/1996,Infinity Broadcasting Corp,Westinghouse Electric Corp,https://www.sec.gov/Archives/edgar/data/106413/0000950128-97-000644.txt,348.5,0,4700,,,,,,,,,,,,,,,,,0000106413,,,,,,Alexey,,Pre2002collect,,,,1996,Services,3699,21.11,,1,1,348.5,0,1
562826,3/25/1997,Renaissance Commun Corp,Tribune Co,https://www.sec.gov/Archives/edgar/data/726513/0000726513-97-000020.txt,1000,115.002,1100,,,,,,,,,,,,,,,,,0000726513,,,,,,Allah,,Pre2002collect,,,,1997,Services,2711,,,1,1,1000,115.002,1
563657,10/14/1996,Geriatric & Medical Cos,Genesis Health Ventures Inc,http://www.sec.gov/Archives/edgar/data/874265/0000950116-97-000285.txt,0,56,223,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000041147,0000874265,1996,Services,8051,59.03,,0,0,,,0
564347,7/8/1996,NuTek Inc,Pollution Research & Control,https://www.sec.gov/Archives/edgar/data/763950/0000950150-96-001339.txt,0,0,1.9,,,,,,,,,,,,,,,,,,0000763950,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,3823,50,50,1,1,,,0
571617,11/7/1996,Colonial Data Technologies,US Order Inc,https://www.sec.gov/Archives/edgar/data/943652/0000928385-96-001314.txt,0,30.913,189,,72,,,,,,,,,,,,,,,,0000943652,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,4899,,,1,1,0,30.913,1
571774,4/7/1997,EZ Communications Inc,American Radio Systems Corp,http://www.sec.gov/Archives/edgar/data/943581/0000908737-97-000306.txt,550,190.998,830,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000802896,0000943581,1997,Services,4832,34.77,,1,0,550,190.998,1
573567,9/17/1996,Roto-Rooter Inc,Chemed Corp,https://www.sec.gov/Archives/edgar/data/19584/0000019584-96-000010.txt,0,67.90000000000001,102.1,,,,,,,,,,,,,,,,,,0000019584,,,,,Allah,,Pre2002collect,,,,1996,Services,2819,,,0,1,,,0
576563,9/26/1996,Orchard Supply Hardware Stores,Sears Roebuck & Co,https://www.sec.gov/Archives/edgar/data/319256/0000319256-96-000032.txt,0,220,309,,,,,,,,,,,,,,,,,0000319256,,,,,,Lincel,,Pre2002collect,,,,1996,Trade,5311,36.54,,0,1,,,0
577450,9/20/1996,CasTech Aluminum Group Inc,Commonwealth Industries Inc,https://www.sec.gov/Archives/edgar/data/934747/0000934747-96-000011.txt,0,172,290,,,,,,,,,,,,,,,,,,0000934747,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,3353,16.43,,0,1,,,0
578932,1/9/1997,Spreckels Industries Inc,Columbus McKinnon Corp,http://www.sec.gov/Archives/edgar/data/1005229/0001005229-97-000004.txt,0,200,270,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000824096,0001005229,1997,Manufacturing,3536,26.98,,0,0,,,0
579258,12/20/1996,Home Shopping Network,HSN Inc,http://www.sec.gov/Archives/edgar/data/891103/0000950144-97-003225.txt,1186,0,1221,1186000000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,,0000891103,1996,Trade,4833,,,0,0,,,0
580079,11/8/1996,Red Lions Hotels(Red Lion Inn),Doubletree Corp,http://www.sec.gov/Archives/edgar/data/923472/0000892569-97-000821.txt,0,365,1200,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,941557,0000923472,1996,Services,7011,17.04,,0,0,,,0
582333,12/23/1996,Big B Inc,Revco DS Inc,https://www.sec.gov/Archives/edgar/data/83496/0000950152-97-002167.txt,0,240,373.9,,,,,,,,,,,,,,,,,0000083496,,,,,,Alexey,,Pre2002collect,,,,1996,Trade,2834,10.43,,1,1,0,240,1
585087,12/6/1996,Proler International Corp,Schnitzer Steel Industries Inc,http://www.sec.gov/Archives/edgar/data/912603/0000912603-97-000002.txt,0,7.358,42.5,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000080693,0000912603,1996,Trade,3399,,,1,0,0,7.358,1
585738,1/2/1997,Rhodes Inc,Heilig-Meyers Co,http://www.sec.gov/Archives/edgar/data/46601/0000916641-97-000560.txt,107.782,0,263.332,107782000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000083679,0000046601,1997,Trade,5712,56.34,,0,0,,,0
586436,2/21/1997,Alexander & Alexander Services,Aon Corp,http://www.sec.gov/Archives/edgar/data/315293/0000948572-97-000030.txt,1200,0,1200,1200000000,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000003449,0000315293,1997,Financial,6411,,,0,0,,,0
586837,11/1/1996,Comptronix Corp,Sanmina Corp,https://www.sec.gov/Archives/edgar/data/897723/0000891618-97-000359.txt,0,0,17.6,,,,,,,,,,,,,,,,,0000897723,,,,,,Allah,,Pre2002collect,,,,1996,Manufacturing,7373,,,1,1,,,0
589200,9/26/1996,Fibronics International Inc,MRV Communications Inc,http://www.sec.gov/Archives/edgar/data/887969/0000950148-96-002699.txt,0,0,22.8,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000724968,0000887969,1996,Manufacturing,3674,,,1,0,,,0
590648,11/12/1997,Pittencrieff Communications,Nextel Communications Inc,http://www.sec.gov/Archives/edgar/data/824169/0000950133-98-001126.txt,62.2,0,169.6,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,,0000824169,1997,Services,4812,,,1,0,62.2,0,1
590659,6/10/1997,Ramsay Managed Care Inc,Ramsay Health Care Inc,http://www.sec.gov/Archives/edgar/data/773136/0000940180-97-000835.txt,4.7,18.8,24,,,,,,,,,,,,,,,4700000,,,,,,,,,,2014 sample,,932275,0000773136,1997,Services,8063,54.05,,0,0,,,0
590663,12/27/1996,Software Publishing Corp,Allegro New Media,https://www.sec.gov/Archives/edgar/data/926331/0000950123-97-003238.txt,14,3.795,30,,14,,,,,,,,,,,,,,,,0000926331,,,,,Alexey,,Pre2002collect,,,,1996,Manufacturing,7372,,,0,1,,,0
591030,12/18/1996,High Level Design Systems Inc,Cadence Design Systems Inc,http://www.sec.gov/Archives/edgar/data/813672/0000912057-97-009695.txt,95.694,3.9,101.399,,95.694,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,,0000813672,1996,Services,7372,,,0,0,,,0
592526,11/22/1996,Super Food Services Inc,Nash Finch Co,http://www.sec.gov/Archives/edgar/data/69671/0000912057-97-010827.txt,7.1,29.8,321.9,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000095504,0000069671,1996,Trade,5141,,,0,0,,,0
594167,10/10/1996,Cochrane Furniture Co Inc,Chromcraft Revington Inc,http://www.sec.gov/Archives/edgar/data/884130/0000884130-97-000003.txt,0,0,42.239,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,,0000884130,1996,Manufacturing,2511,,100,1,0,0,0,1
594570,12/12/1996,Thrifty Payless Holdings Inc,Rite Aid Corp,https://www.sec.gov/Archives/edgar/data/84129/0000893220-97-001091.txt,0,1112.109,1496.428,,,,,,,,,,,,,,,,,0000084129,,,,,,Alexey,,Pre2002collect,,,,1996,Trade,5912,37.18,,0,1,,,0
595553,11/1/1996,Cellular Products Inc,Hemagen Diagnostics Inc,http://www.sec.gov/Archives/edgar/data/892822/0000910647-97-000047.txt,0,0,.6,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000718585,0000892822,1996,Manufacturing,2835,,,1,0,,,0
597917,12/6/1996,Chadwick's of Boston Ltd,Brylane LP(The Limited Inc),http://www.sec.gov/Archives/edgar/data/912274/0000898430-97-001858.txt,11,114.5,221.234,,,,8.800000000000001,,,,,2.2,,,,,,,,,,,,,,,,2014 sample,,1015104, 0000912274,1996,Trade,5961,8.23,,0,0,,,0
601169,4/8/1997,Vons Cos Inc,Safeway Inc,https://www.sec.gov/Archives/edgar/data/86144/0000950149-97-000915.txt,0,1680.1,2017,,,,,,,,,,,,,,,,,0000086144,,,,,,Alexey,,Pre2002collect,,,,1997,Trade,5411,25.09,,0,1,,,0
608420,7/2/1997,Petrolite Corp,Baker Hughes Inc,https://www.sec.gov/Archives/edgar/data/808362/0000808362-97-000009.txt,0,0,750,,,,,,,,,,,,,,,,,0000808362,,,,,,Lincel,,Pre2002collect,,,,1997,Manufacturing,3533,,,0,1,,,0
610820,2/28/1997,American Studios Inc,PCA International Inc,https://www.sec.gov/Archives/edgar/data/76791/0000950168-97-001076.txt,0,0,52.689671,,,,,,,,,,,,,,,,,,0000076791,,,,,Lincel,,Pre2002collect,,,,1997,Services,7221,18.73,,0,1,,,0
611289,12/30/1996,Armor All Products(McKesson),The Clorox Co,http://www.sec.gov/Archives/edgar/data/21076/0000021076-97-000004.txt,358,0,360.144,,,,358,,,,,,,48000000,,,,,,,,,,,,,,2014 sample,,0000797975,0000021076,1996,Manufacturing,2842,,,0,0,,,0
612000,1/16/1997,Milgray Electronics Inc,Bell Industries Inc,http://www.sec.gov/Archives/edgar/data/945489/0000950150-97-000739.txt,0,64,100,,,,,,,,,,,,,,,,,,,,,,,,,2014 sample,,0000066270,0000945489,1997,Trade,3679,,,0,0,,,0
613800,3/17/1997,Research Medical Inc,Baxter International Inc,https://www.sec.gov/Archives/edgar/data/10456/0000912057-97-027564.txt,172,29,239,,132,,,40,,,,,,,,,,,,0000010456,,,,,,Alexey,,Pre2002collect,,,,1997,Manufacturing,3841,,,0,1,,,0
614093,1/10/1997,Zycon Corp,Hadco Corp,https://www.sec.gov/Archives/edgar/data/729533/0000950135-97-002310.txt,72,36.969,212.485,,78,,13,30,10,,,19,,,,,,,,,0000729533,,,,,Allah,,Pre2002collect,,,,1997,Manufacturing,3672,,,0,1,,,0
614102,2/26/1997,Barefoot Inc,ServiceMaster LP,https://www.sec.gov/Archives/edgar/data/806027/0000806027-97-000014.txt,40,162,237,,,,,,,,,,,,,,,,0000878944,0001052045,0000806027,,,,,Alexey,,Pre2002collect,,,,1997,Natural Resources,7349,,100,1,1,40,162,1
614665,6/16/1997,Zynaxis,Vaxcel Inc(CytRx Corp),https://www.sec.gov/Archives/edgar/data/1029802/0000950144-97-009193.txt,3.6,0,4,,,,,3.6,,,,,,,,,,,,,,,,,,,,2014 sample,,864076,0001029802,1997,Services,8731,,,0,0,,,0
614811,2/28/1997,Houston Biotechnology Inc,Medarex Inc,https://www.sec.gov/Archives/edgar/data/874255/0000950130-97-003646.txt,10.750465,0,9.23,,10.750465,,,,,,,,,,,,,,,,0000874255,,,,,Allah,,Pre2002collect,,,,1997,Manufacturing,2836,,,0,1,,,0
